Output File                                             Name                           Type        FSH File                                                   Lines
Bundle-RecuperoCABABundleEjemplo.json                   RecuperoCABABundleEjemplo      Instance    examples/ejemplo-1-recupero-claim.fsh                      1 - 21
CodeSystem-coberturas-codesystem.json                   RecuperoCoberturasCS           CodeSystem  terminology/codesystems/caba-recupero-coberturas.fsh       1 - 102
CodeSystem-diagnosticos-codesystem.json                 RecuperoDiagnosticosCS         CodeSystem  terminology/codesystems/caba-recupero-diagnostico.fsh      1 - 404
CodeSystem-procedimientos-codesystem.json               RecuperoProcedimientosCS       CodeSystem  terminology/codesystems/caba-recupero-procedimientos.fsh   1 - 137
CodeSystem-profesiones-codesystem.json                  RecuperoProfesionesCS          CodeSystem  terminology/codesystems/caba-recupero-profesiones.fsh      1 - 241
CodeSystem-tipos-documento-codesystem.json              RecuperoTiposDocumentoCS       CodeSystem  terminology/codesystems/caba-recupero-tiposdocumento.fsh   1 - 13
CodeSystem-tipos-matricula-codesystem.json              RecuperoTiposMatricula         CodeSystem  terminology/codesystems/caba-recupero-tiposmatricula.fsh   1 - 281
StructureDefinition-BundleCabaRecupero.json             BundleCabaRecupero             Profile     profiles/caba-recupero-bundle.fsh                          1 - 37
StructureDefinition-ClaimCabaRecupero.json              ClaimCabaRecupero              Profile     profiles/caba-recupero-claim.fsh                           1 - 46
StructureDefinition-DocumentReferenceCabaRecupero.json  DocumentReferenceCabaRecupero  Profile     profiles/caba-recupero-documentreference.fsh               1 - 23
StructureDefinition-EncounterCabaRecupero.json          EncounterCabaRecupero          Profile     profiles/caba-recupero-encounter.fsh                       1 - 19
StructureDefinition-ExtensionFathersFamilyName.json     ExtensionFathersFamilyName     Extension   extensions/caba-recupero-fathersfamilyname.fsh             1 - 13
StructureDefinition-ExtensionMothersFamilyName.json     ExtensionMothersFamilyName     Extension   extensions/caba-recupero-mothersfamilyname.fsh             1 - 13
StructureDefinition-PatientCabaRecupero.json            PatientCabaRecupero            Profile     profiles/caba-recupero-patient.fsh                         1 - 44
StructureDefinition-PractitionerCabaRecupero.json       PractitionerCabaRecupero       Profile     profiles/caba-recupero-practitioner.fsh                    1 - 21
StructureDefinition-RecuperoLaboratorioPrestacion.json  RecuperoLaboratorioPrestacion  Logical     logical_models/recupero_laboratorio.fsh                    59 - 65
StructureDefinition-RecuperoLaboratorioSolicitud.json   RecuperoLaboratorioSolicitud   Logical     logical_models/recupero_laboratorio.fsh                    1 - 57
StructureDefinition-ServiceRequestCabaRecupero.json     ServiceRequestCabaRecupero     Profile     profiles/caba-recupero-servicerequest.fsh                  1 - 36
ValueSet-recuperocoberturas-valueset.json               RecuperoCoberturasVS           ValueSet    terminology/valuesets/caba-recupero-coberturas-vs.fsh      1 - 11
ValueSet-recuperodiagnosticos-valueset.json             RecuperoDiagnosticosVS         ValueSet    terminology/valuesets/caba-recupero-diagnostico-vs.fsh     1 - 11
ValueSet-recuperoprocedimientos-valueset.json           RecuperoProcedimientosVS       ValueSet    terminology/valuesets/caba-recupero-procedimientos-vs.fsh  1 - 11
ValueSet-recuperoprofesiones-valueset.json              RecuperoProfesionesVS          ValueSet    terminology/valuesets/caba-recupero-profesiones-vs.fsh     1 - 11
ValueSet-recuperotiposdocumento-valueset.json           RecuperoTiposDocumentoVS       ValueSet    terminology/valuesets/caba-recupero-tiposdocumento-vs.fsh  1 - 11
ValueSet-recuperotiposmatricula-valueset.json           RecuperoTiposMatriculaVS       ValueSet    terminology/valuesets/caba-recupero-tiposmatricula-vs.fsh  1 - 11
